French,English
chercher,search
seulement,only
aide,help
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
étaient,were
donné,given
endroit,place
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
pouvoir,power
vieux,old
sois,be
matin,morning
venu,came
suite,after
pardon,sorry
chambre,bedroom
aimerais,would like to
enfin,finally
espère,hope
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
compte,account
loin,far
fin,end
croire,believe
plutôt,rather
aura,will have
filles,girls
jouer,to play
